source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-8.900000,-0.2354000,0.0187100,-0.1007000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-8.400000,-0.1830000,0.0173900,-0.1007000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-7.900000,-0.1306000,0.0160400,-0.1009000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-7.400000,-0.0776000,0.0152400,-0.1009000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-6.900000,-0.0239000,0.0148600,-0.1009000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-6.400000,0.0298000,0.0146000,-0.1005000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-5.900000,0.0829000,0.0143500,-0.0995000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-5.400000,0.1356000,0.0141400,-0.0986000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-4.900000,0.1882000,0.0139600,-0.0974000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-4.400000,0.2406000,0.0137900,-0.0961000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-3.900000,0.2927000,0.0136100,-0.0944000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-3.400000,0.3450000,0.0134300,-0.0927000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-2.900000,0.3977000,0.0133100,-0.0913000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-2.400000,0.4508000,0.0131100,-0.0898000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-1.900000,0.5047000,0.0128900,-0.0886000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-1.400000,0.5590000,0.0125900,-0.0877000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-0.900000,0.6134000,0.0122700,-0.0873000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,-0.400000,0.6650000,0.0111400,-0.0841000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,0.100000,0.7165000,0.0110200,-0.0823000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,0.600000,0.7741000,0.0111500,-0.0823000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,1.100000,0.8270000,0.0118000,-0.0817000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,1.600000,0.8789000,0.0125100,-0.0811000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,2.100000,0.9296000,0.0132900,-0.0804000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,2.600000,0.9794000,0.0141100,-0.0795000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,3.100000,1.0282000,0.0149800,-0.0786000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,10.0,3.600000,1.0756000,0.0159200,-0.0774000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,-1.800000,-0.5448000,0.0131100,0.0711000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,-1.300000,-0.5021000,0.0143400,0.0783000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,-0.800000,-0.4108000,0.0165000,0.0762000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,-0.300000,-0.2778000,0.0178900,0.0638000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,10,-5.0,0.200000,-0.1663000,0.0178600,0.0536000
